name,stars_count,forks_count,watchers,pull_requests,primary_language,languages_used,commit_count,created_at,licence
freeCodeCamp,359805,30814,8448,31867,TypeScript,"['TypeScript', 'JavaScript', 'CSS', 'Shell', 'Dockerfile', 'EJS', 'HTML', 'Less']",32231.0,2014-12-24T17:49:19Z,"BSD 3-Clause ""New"" or ""Revised"" License"
996.ICU,264811,21470,4298,1949,,,3189.0,2019-03-26T07:31:14Z,Other
free-programming-books,262380,53302,9544,8235,,,8286.0,2013-10-11T06:50:37Z,Other
coding-interview-university,244927,65038,8539,867,,,2314.0,2016-06-06T02:34:12Z,Creative Commons Attribution Share Alike 4.0 International
awesome,235223,24791,7446,1859,,,1074.0,2014-07-11T13:42:37Z,Creative Commons Zero v1.0 Universal
developer-roadmap,225982,32534,6885,2082,Astro,"['Astro', 'JavaScript', 'TypeScript', 'CSS']",2821.0,2017-03-15T13:45:52Z,Other
public-apis,225267,25654,3772,2897,Python,"['Python', 'Shell']",4527.0,2016-03-20T23:49:42Z,MIT License
system-design-primer,208977,37414,6466,455,Python,"['Python', 'Shell']",328.0,2017-02-26T16:15:28Z,Other
vue,201896,33255,6051,2365,TypeScript,"['TypeScript', 'JavaScript', 'HTML', 'CSS', 'Shell']",3545.0,2013-07-29T03:24:51Z,MIT License
react,200838,41721,6644,13061,JavaScript,"['JavaScript', 'HTML', 'CSS', 'C++', 'TypeScript', 'CoffeeScript', 'C', 'Shell', 'Python', 'Makefile']",15461.0,2013-05-24T16:15:54Z,MIT License
build-your-own-x,184759,17824,4440,282,,,481.0,2018-05-09T12:03:18Z,
tensorflow,170578,87667,7788,22466,C++,"['C++', 'Python', 'MLIR', 'Starlark', 'HTML', 'Go', 'C', 'Java', 'Jupyter Notebook', 'Shell']",141966.0,2015-11-07T01:19:20Z,Apache License 2.0
You-Dont-Know-JS,163638,31917,5968,867,,,1879.0,2013-11-16T02:37:24Z,Other
bootstrap,161399,77750,6845,14246,JavaScript,"['JavaScript', 'HTML', 'SCSS', 'CSS', 'PowerShell']",22197.0,2011-07-29T21:19:00Z,MIT License
CS-Notes,160783,49710,5415,597,,,3776.0,2018-02-13T14:56:24Z,
javascript-algorithms,159248,26396,4352,635,JavaScript,"['JavaScript', 'Shell']",1076.0,2018-03-24T07:47:04Z,MIT License
ohmyzsh,154480,24897,2660,6726,Shell,"['Shell', 'Python', 'Makefile']",6776.0,2009-08-28T18:15:37Z,MIT License
awesome-python,154091,22463,5753,1746,Python,"['Python', 'Makefile']",1632.0,2014-06-27T21:00:06Z,Other
Python,151276,38747,5945,6749,Python,['Python'],2724.0,2016-07-16T09:44:01Z,MIT License
flutter,148510,24317,3557,40805,Dart,"['Dart', 'C++', 'Objective-C', 'Java', 'CMake', 'Shell', 'Ruby', 'HTML', 'Swift', 'Batchfile']",32962.0,2015-03-06T22:54:58Z,"BSD 3-Clause ""New"" or ""Revised"" License"
linux,144966,46406,8129,761,C,"['C', 'Assembly', 'Shell', 'Makefile', 'Python', 'Perl', 'Rust', 'C++', 'Roff', 'SmPL']",1154596.0,2011-09-04T22:48:12Z,Other
gitignore,143187,81642,3323,4152,,,3528.0,2010-11-08T20:17:14Z,Creative Commons Zero v1.0 Universal
vscode,141614,24514,3180,18413,TypeScript,"['TypeScript', 'JavaScript', 'CSS', 'HTML', 'Rust', 'Inno Setup', 'Shell', 'Scilab', 'Batchfile', 'PowerShell']",104743.0,2015-09-03T20:23:38Z,MIT License
javascript,131055,24869,3823,1400,JavaScript,['JavaScript'],1943.0,2012-11-01T23:13:50Z,MIT License
computer-science,131032,17247,5414,387,,,989.0,2014-05-04T00:18:39Z,MIT License
JavaGuide,129989,43120,4578,1001,Java,['Java'],4491.0,2018-05-07T13:27:00Z,
Python-100-Days,129654,47914,6205,310,Python,"['Python', 'HTML', 'Jupyter Notebook', 'Java', 'CSS', 'JavaScript']",370.0,2018-03-01T16:05:52Z,
the-art-of-command-line,126140,12804,2795,553,,,1208.0,2015-05-20T15:11:03Z,
youtube-dl,116734,8536,2203,4793,Python,"['Python', 'Shell', 'Makefile', 'ActionScript', 'Batchfile']",18646.0,2010-10-31T14:35:07Z,The Unlicense
awesome-selfhosted,115927,6859,1974,2600,JavaScript,"['JavaScript', 'Makefile', 'Python', 'Ruby']",5790.0,2015-06-01T02:33:17Z,Other
fucking-algorithm,113340,21976,2432,417,Markdown,['Markdown'],355.0,2020-02-19T09:01:23Z,
go,107717,15822,3482,2790,Go,"['Go', 'Assembly', 'HTML', 'C', 'Shell', 'Perl', 'JavaScript', 'Python', 'Batchfile', 'Dockerfile']",55233.0,2014-08-19T04:33:40Z,"BSD 3-Clause ""New"" or ""Revised"" License"
react-native,107174,22824,3654,11720,JavaScript,"['JavaScript', 'Java', 'C++', 'Objective-C', 'Objective-C++', 'Starlark', 'Ruby', 'Kotlin', 'Shell', 'TypeScript']",26485.0,2015-01-09T18:10:16Z,MIT License
30-seconds-of-code,106958,11091,2605,1482,JavaScript,['JavaScript'],5491.0,2017-11-29T17:35:03Z,Creative Commons Attribution 4.0 International
electron,105529,14281,2922,18453,C++,"['C++', 'TypeScript', 'Objective-C++', 'JavaScript', 'Python', 'Objective-C', 'HTML', 'Shell', 'C', 'CSS']",27006.0,2013-04-12T01:47:36Z,MIT License
d3,104167,23263,3761,1114,JavaScript,['JavaScript'],4351.0,2010-09-27T17:22:42Z,ISC License
next.js,99485,22057,1331,14080,JavaScript,"['JavaScript', 'TypeScript', 'Rust', 'CSS', 'SCSS', 'Shell', 'Dockerfile', 'Batchfile', 'Sass']",13765.0,2016-10-05T23:32:51Z,MIT License
free-programming-books-zh_CN,98872,27028,5923,449,,,922.0,2013-11-04T01:59:19Z,GNU General Public License v3.0
create-react-app,98606,25875,1943,4109,JavaScript,"['JavaScript', 'Shell', 'CSS', 'HTML', 'AppleScript', 'TypeScript', 'SCSS', 'Sass']",2800.0,2016-07-17T14:55:11Z,MIT License
axios,98336,10126,1212,1289,JavaScript,"['JavaScript', 'TypeScript', 'HTML', 'Handlebars']",1400.0,2014-08-18T22:30:27Z,MIT License
kubernetes,95277,34927,3260,72764,Go,"['Go', 'Shell', 'PowerShell', 'Makefile', 'Dockerfile', 'Python', 'C', 'sed', 'Batchfile', 'HTML']",113248.0,2014-06-06T22:56:04Z,Apache License 2.0
awesome-go,94975,10652,2733,4122,Go,['Go'],4382.0,2014-07-06T13:42:15Z,MIT License
node,92840,25096,2904,29305,JavaScript,"['JavaScript', 'C++', 'Python', 'C', 'HTML', 'Makefile', 'Shell', 'Batchfile', 'Emacs Lisp', 'Perl']",38013.0,2014-11-26T19:57:11Z,Other
three.js,88351,33734,2550,13606,JavaScript,"['JavaScript', 'HTML', 'Roff', 'CSS']",40983.0,2010-03-23T18:58:01Z,MIT License
TypeScript,87776,11373,2141,15541,TypeScript,"['TypeScript', 'JavaScript', 'Dockerfile', 'Shell']",34270.0,2014-06-17T15:28:39Z,Apache License 2.0
the-book-of-secret-knowledge,87475,6829,2009,225,,,1066.0,2018-06-23T10:43:14Z,MIT License
deno,87388,4714,1498,9484,Rust,"['Rust', 'JavaScript', 'TypeScript', 'Lua', 'C', 'Dockerfile']",8536.0,2018-05-15T01:34:26Z,MIT License
terminal,87143,7645,1306,3426,C++,"['C++', 'C#', 'C', 'PowerShell', 'Batchfile', 'HLSL', 'Python', 'Roff', 'JavaScript', 'HTML']",3429.0,2017-08-11T18:38:22Z,MIT License
project-based-learning,87079,12344,2085,306,,,567.0,2017-04-12T05:07:46Z,MIT License
